"filename", "language", "Python", "comment", "blank", "total"
"/home/jon/repos/audio-book-maker-lg/src/abm/lf_components/audiobook/__init__.py", "Python", 0, 6, 2, 8
"/home/jon/repos/audio-book-maker-lg/src/abm/lf_components/audiobook/abm_aggregated_jsonl_writer.py", "Python", 56, 7, 15, 78
"/home/jon/repos/audio-book-maker-lg/src/abm/lf_components/audiobook/abm_casting_director.py", "Python", 129, 14, 26, 169
"/home/jon/repos/audio-book-maker-lg/src/abm/lf_components/audiobook/abm_chapter_selector.py", "Python", 72, 5, 11, 88
"/home/jon/repos/audio-book-maker-lg/src/abm/lf_components/audiobook/abm_chapter_volume_loader.py", "Python", 70, 6, 17, 93
"/home/jon/repos/audio-book-maker-lg/src/abm/lf_components/audiobook/abm_character_data_collector.py", "Python", 224, 37, 62, 323
"/home/jon/repos/audio-book-maker-lg/src/abm/lf_components/audiobook/abm_chunk_iterator.py", "Python", 142, 24, 33, 199
"/home/jon/repos/audio-book-maker-lg/src/abm/lf_components/audiobook/abm_data_config.py", "Python", 64, 4, 14, 82
"/home/jon/repos/audio-book-maker-lg/src/abm/lf_components/audiobook/abm_dialogue_classifier.py", "Python", 397, 29, 29, 455
"/home/jon/repos/audio-book-maker-lg/src/abm/lf_components/audiobook/abm_dialogue_narration_classifier.py", "Python", 157, 14, 31, 202
"/home/jon/repos/audio-book-maker-lg/src/abm/lf_components/audiobook/abm_enhanced_chapter_loader.py", "Python", 275, 35, 52, 362
"/home/jon/repos/audio-book-maker-lg/src/abm/lf_components/audiobook/abm_llm_speaker_identification.py", "Python", 120, 16, 28, 164
"/home/jon/repos/audio-book-maker-lg/src/abm/lf_components/audiobook/abm_results_aggregator.py", "Python", 229, 39, 51, 319
"/home/jon/repos/audio-book-maker-lg/src/abm/lf_components/audiobook/abm_results_to_utterances.py", "Python", 47, 5, 11, 63
"/home/jon/repos/audio-book-maker-lg/src/abm/lf_components/audiobook/abm_segment_dialogue_narration.py", "Python", 95, 11, 22, 128
"/home/jon/repos/audio-book-maker-lg/src/abm/lf_components/audiobook/abm_speaker_attribution.py", "Python", 127, 28, 24, 179
"/home/jon/repos/audio-book-maker-lg/src/abm/lf_components/audiobook/abm_two_agent_runner.py", "Python", 103, 13, 23, 139
"/home/jon/repos/audio-book-maker-lg/src/abm/lf_components/audiobook/abm_two_agent_runner_component.py", "Python", 34, 2, 9, 45
"/home/jon/repos/audio-book-maker-lg/src/abm/lf_components/audiobook/abm_utterance_filter.py", "Python", 93, 4, 22, 119
"/home/jon/repos/audio-book-maker-lg/src/abm/lf_components/audiobook/abm_utterance_jsonl_writer.py", "Python", 84, 12, 21, 117
"Total", "-", 2518, 311, 503, 3332